time,rejection valve,cold plate valve,heater valve,chiller valve,TES valve,bypass valve,heater,pump,cold plate
0,100,100,0,50,0,100,0,0,0
28,100,100,0,50,0,100,0,0,85
55,100,100,0,50,0,100,0,0,0
106,100,100,0,50,0,100,0,0,65
145,100,100,0,50,0,100,0,0,0
180,100,100,0,50,0,100,0,0,60
209,100,100,0,50,0,100,0,0,45
230,100,100,0,50,0,100,0,0,0
270,100,100,0,50,0,100,0,0,60
295,100,100,0,50,0,100,0,0,62
310,100,100,0,50,0,100,0,0,62
360,100,100,0,50,0,100,0,0,62
375,100,100,0,50,0,100,0,0,0
400,100,100,0,50,0,100,0,0,0
500,100,100,0,50,0,100,0,0,0

