time(s),SOC_1,SOC_2,SOC_3,SOC_4
3.76200,0.90683,0.90683,0.90683,0.90683
4.01400,0.32941,0.28543,0.27544,0.27978
4.11400,0.24072,0.19274,0.18163,0.18580
4.21400,0.17850,0.12964,0.11883,0.12358
4.31400,0.13715,0.08824,0.07666,0.08178
4.41400,0.10710,0.05552,0.04315,0.04898
4.51400,0.08288,0.02743,0.01378,0.02050
4.61400,0.06117,-0.00030,-0.01500,-0.00812
4.71400,0.03956,-0.02732,-0.04376,-0.03631
4.81400,0.01727,-0.05274,-0.07051,-0.06307
4.91400,-0.00405,-0.07614,-0.09412,-0.08711
5.01400,-0.02496,-0.09684,-0.11494,-0.10830
5.11400,-0.04362,-0.11589,-0.13307,-0.12603
5.21400,-0.06009,-0.13119,-0.14848,-0.14124
5.31400,-0.07458,-0.14550,-0.16250,-0.15580
5.41400,-0.08728,-0.15843,-0.17540,-0.16805
5.51400,-0.09933,-0.16943,-0.18735,-0.17989
5.64700,-0.11248,-0.18360,-0.20156,-0.19349
5.74700,-0.12337,-0.19480,-0.21289,-0.20505
5.84700,-0.13237,-0.20483,-0.22314,-0.21467
5.94700,-0.14135,-0.21437,-0.23283,-0.22516
6.04700,-0.14928,-0.22361,-0.24239,-0.23469
6.14700,-0.15821,-0.23362,-0.25291,-0.24386
6.24700,-0.16538,-0.24209,-0.26154,-0.25326
6.34700,-0.17403,-0.25164,-0.27110,-0.26227
6.44700,-0.18130,-0.25978,-0.27914,-0.27049
6.54700,-0.18814,-0.26711,-0.28643,-0.27819
6.71500,-0.19954,-0.27776,-0.29703,-0.28805
6.81500,-0.20690,-0.28534,-0.30482,-0.29527
6.91500,-0.21353,-0.29158,-0.31155,-0.30232
7.01500,-0.21886,-0.29733,-0.31815,-0.30863
7.11500,-0.22478,-0.30396,-0.32484,-0.31517
7.21500,-0.22973,-0.30984,-0.33098,-0.32186
7.31500,-0.23477,-0.31588,-0.33678,-0.32793
7.41500,-0.24016,-0.32141,-0.34236,-0.33286
7.51500,-0.24529,-0.32710,-0.34734,-0.33741
7.61500,-0.24976,-0.33127,-0.35157,-0.34162
7.71500,-0.25429,-0.33508,-0.35508,-0.34523
7.81500,-0.25830,-0.33838,-0.35812,-0.34865
7.91500,-0.26199,-0.34136,-0.36065,-0.35164
8.01500,-0.26553,-0.34415,-0.36298,-0.35425
8.11500,-0.26889,-0.34663,-0.36536,-0.35678
8.21500,-0.27216,-0.34933,-0.36779,-0.35881
8.31500,-0.27395,-0.35030,-0.36902,-0.36026
8.41500,-0.27629,-0.35202,-0.36995,-0.36162
8.51500,-0.27830,-0.35285,-0.37107,-0.36315
8.61500,-0.28011,-0.35432,-0.37243,-0.36502
8.71500,-0.28179,-0.35556,-0.37373,-0.36577
8.81500,-0.28284,-0.35648,-0.37451,-0.36689
8.91500,-0.28421,-0.35754,-0.37552,-0.36743
9.01500,-0.28514,-0.35825,-0.37608,-0.36780
9.11500,-0.28641,-0.35885,-0.37698,-0.36851
9.21500,-0.28766,-0.35996,-0.37776,-0.36914
9.31500,-0.28845,-0.36049,-0.37819,-0.36916
9.41500,-0.28921,-0.36085,-0.37854,-0.36998
9.51500,-0.28974,-0.36152,-0.37911,-0.37105
9.61500,-0.29005,-0.36164,-0.37948,-0.37139
9.71500,-0.29024,-0.36162,-0.37933,-0.37186
9.81500,-0.29063,-0.36230,-0.38007,-0.37211
9.91500,-0.29102,-0.36270,-0.38053,-0.37203
10.01500,-0.29119,-0.36264,-0.38039,-0.37220
10.11500,-0.29156,-0.36325,-0.38053,-0.37230
10.21500,-0.29248,-0.36360,-0.38093,-0.37304
10.31500,-0.29303,-0.36389,-0.38123,-0.37310
10.41500,-0.29307,-0.36383,-0.38153,-0.37378
10.51500,-0.29349,-0.36385,-0.38181,-0.37313
10.61500,-0.29326,-0.36402,-0.38175,-0.37352
10.71500,-0.29366,-0.36418,-0.38207,-0.37367
10.81500,-0.29347,-0.36398,-0.38192,-0.37350
10.91500,-0.29380,-0.36441,-0.38235,-0.37372
11.01500,-0.29381,-0.36446,-0.38221,-0.37387
11.11500,-0.29390,-0.36431,-0.38248,-0.37416
11.21500,-0.29371,-0.36445,-0.38229,-0.37454
11.31500,-0.29421,-0.36503,-0.38286,-0.37460
11.41500,-0.29400,-0.36476,-0.38234,-0.37451
11.51500,-0.29435,-0.36471,-0.38254,-0.37447
11.61500,-0.29454,-0.36494,-0.38261,-0.37455
11.71500,-0.29424,-0.36492,-0.38268,-0.37448
11.81500,-0.29474,-0.36521,-0.38283,-0.37475
11.91500,-0.29444,-0.36436,-0.38240,-0.37504
12.01500,-0.29452,-0.36488,-0.38243,-0.37529
12.11500,-0.29446,-0.36483,-0.38275,-0.37536
12.21500,-0.29472,-0.36498,-0.38268,-0.37520
12.31500,-0.29436,-0.36499,-0.38267,-0.37479
12.41500,-0.29472,-0.36483,-0.38277,-0.37454
12.51500,-0.29470,-0.36533,-0.38272,-0.37487
12.61500,-0.29486,-0.36567,-0.38302,-0.37473
12.71500,-0.29495,-0.36548,-0.38281,-0.37480
12.81500,-0.29522,-0.36565,-0.38291,-0.37515
12.91500,-0.29452,-0.36498,-0.38257,-0.37533
13.01500,-0.29463,-0.36497,-0.38258,-0.37487
13.11500,-0.29477,-0.36503,-0.38289,-0.37491
13.21500,-0.29519,-0.36527,-0.38326,-0.37512
13.31500,-0.29491,-0.36490,-0.38296,-0.37530
13.41500,-0.29491,-0.36546,-0.38312,-0.37490
13.51500,-0.29524,-0.36550,-0.38306,-0.37461
13.61500,-0.29512,-0.36577,-0.38301,-0.37460
13.71500,-0.29534,-0.36543,-0.38288,-0.37508
13.81500,-0.29524,-0.36564,-0.38317,-0.37504
13.91500,-0.29501,-0.36553,-0.38316,-0.37505
14.01500,-0.29554,-0.36590,-0.38311,-0.37535
14.11500,-0.29555,-0.36648,-0.38326,-0.37546
14.21500,-0.29520,-0.36602,-0.38308,-0.37565
14.31500,-0.29513,-0.36597,-0.38328,-0.37487
14.41500,-0.29527,-0.36587,-0.38341,-0.37533
14.51500,-0.29511,-0.36552,-0.38329,-0.37537
14.61500,-0.29574,-0.36604,-0.38344,-0.37566
14.71500,-0.29499,-0.36559,-0.38327,-0.37552
14.81500,-0.29528,-0.36551,-0.38352,-0.37513
14.91500,-0.29506,-0.36574,-0.38331,-0.37493
15.01500,-0.29506,-0.36548,-0.38354,-0.37512
15.11500,-0.29524,-0.36565,-0.38351,-0.37526
15.21500,-0.29501,-0.36537,-0.38320,-0.37546
15.31500,-0.29519,-0.36528,-0.38340,-0.37526
15.41500,-0.29502,-0.36551,-0.38319,-0.37536
15.51500,-0.29494,-0.36516,-0.38306,-0.37502
15.61500,-0.29491,-0.36543,-0.38321,-0.37500
15.71500,-0.29432,-0.36503,-0.38271,-0.37529
15.81500,-0.29406,-0.36514,-0.38274,-0.37560
15.91500,-0.29501,-0.36554,-0.38303,-0.37530
16.01500,-0.29488,-0.36554,-0.38287,-0.37522
16.11500,-0.29504,-0.36539,-0.38290,-0.37519
16.21500,-0.29528,-0.36608,-0.38320,-0.37555
16.31500,-0.29545,-0.36596,-0.38332,-0.37519
16.41500,-0.29516,-0.36546,-0.38329,-0.37576
16.51500,-0.29521,-0.36548,-0.38330,-0.37561
16.61500,-0.29553,-0.36587,-0.38341,-0.37566
16.71500,-0.29554,-0.36569,-0.38331,-0.37575
16.81500,-0.29510,-0.36527,-0.38320,-0.37539
16.91500,-0.29515,-0.36570,-0.38324,-0.37548
17.01500,-0.29510,-0.36596,-0.38335,-0.37555
17.11500,-0.29499,-0.36554,-0.38309,-0.37540
17.21500,-0.29450,-0.36541,-0.38278,-0.37554
17.31500,-0.29479,-0.36504,-0.38261,-0.37495
17.41500,-0.29498,-0.36574,-0.38295,-0.37504
17.51500,-0.29494,-0.36528,-0.38298,-0.37515
17.61500,-0.29472,-0.36512,-0.38278,-0.37505
17.71500,-0.29543,-0.36563,-0.38321,-0.37504
17.81500,-0.29561,-0.36583,-0.38351,-0.37526
17.91500,-0.29518,-0.36531,-0.38298,-0.37521
18.01500,-0.29538,-0.36562,-0.38352,-0.37535
18.11500,-0.29526,-0.36559,-0.38333,-0.37513
18.21500,-0.29542,-0.36551,-0.38317,-0.37494
18.31500,-0.29498,-0.36557,-0.38331,-0.37474
18.41500,-0.29509,-0.36520,-0.38302,-0.37456
18.51500,-0.29532,-0.36559,-0.38345,-0.37490
18.61500,-0.29523,-0.36535,-0.38312,-0.37506
18.71500,-0.29504,-0.36553,-0.38313,-0.37508
18.81500,-0.29486,-0.36521,-0.38304,-0.37499
18.91500,-0.29502,-0.36535,-0.38303,-0.37498
19.01500,-0.29502,-0.36570,-0.38300,-0.37529
19.11500,-0.29485,-0.36507,-0.38255,-0.37522
19.21500,-0.29496,-0.36530,-0.38292,-0.37554
19.31500,-0.29486,-0.36540,-0.38270,-0.37528
19.41500,-0.29520,-0.36511,-0.38294,-0.37504
19.51500,-0.29491,-0.36522,-0.38294,-0.37489
19.61500,-0.29532,-0.36560,-0.38308,-0.37519
19.71500,-0.29507,-0.36530,-0.38296,-0.37480
19.81500,-0.29494,-0.36524,-0.38282,-0.37476
19.91500,-0.29471,-0.36483,-0.38270,-0.37455
20.01500,-0.29505,-0.36524,-0.38280,-0.37477
20.11500,-0.29549,-0.36556,-0.38321,-0.37468
20.21500,-0.29516,-0.36544,-0.38293,-0.37504
20.31500,-0.29508,-0.36533,-0.38280,-0.37460
20.41500,-0.29529,-0.36518,-0.38313,-0.37484
20.51500,-0.29523,-0.36522,-0.38297,-0.37494
20.61500,-0.29502,-0.36470,-0.38308,-0.37508
20.71500,-0.29510,-0.36528,-0.38310,-0.37496
20.81500,-0.29501,-0.36525,-0.38321,-0.37526
20.91500,-0.29508,-0.36552,-0.38350,-0.37524
21.06800,-0.29557,-0.36578,-0.38334,-0.37510
21.16800,-0.29537,-0.36550,-0.38310,-0.37558
21.26800,-0.29529,-0.36559,-0.38328,-0.37515
21.36800,-0.29551,-0.36586,-0.38349,-0.37555
21.46800,-0.29561,-0.36573,-0.38338,-0.37525
21.56800,-0.29546,-0.36615,-0.38350,-0.37543
21.66800,-0.29600,-0.36614,-0.38361,-0.37511
21.76800,-0.29539,-0.36569,-0.38329,-0.37499
21.86800,-0.29515,-0.36531,-0.38319,-0.37466
21.96800,-0.29550,-0.36548,-0.38341,-0.37505
22.06800,-0.29557,-0.36586,-0.38352,-0.37520
22.16800,-0.29561,-0.36542,-0.38346,-0.37524
22.26800,-0.29533,-0.36560,-0.38318,-0.37504
22.36800,-0.29542,-0.36534,-0.38303,-0.37525
22.46800,-0.29538,-0.36534,-0.38310,-0.37498
22.56800,-0.29522,-0.36523,-0.38314,-0.37495
22.66800,-0.29535,-0.36544,-0.38301,-0.37466
22.76800,-0.29529,-0.36531,-0.38299,-0.37472
22.86800,-0.29529,-0.36574,-0.38336,-0.37457
22.96800,-0.29499,-0.36493,-0.38274,-0.37482
23.06800,-0.29510,-0.36569,-0.38346,-0.37511
23.16800,-0.29542,-0.36537,-0.38339,-0.37529
23.26800,-0.29511,-0.36545,-0.38302,-0.37527
23.36800,-0.29568,-0.36585,-0.38360,-0.37545
23.46800,-0.29530,-0.36566,-0.38312,-0.37551
23.56800,-0.29505,-0.36528,-0.38294,-0.37537
23.66800,-0.29557,-0.36547,-0.38327,-0.37534
23.76800,-0.29480,-0.36514,-0.38263,-0.37511
23.86800,-0.29492,-0.36541,-0.38293,-0.37489
23.96800,-0.29548,-0.36567,-0.38323,-0.37496
24.06800,-0.29521,-0.36523,-0.38317,-0.37522
24.16800,-0.29532,-0.36565,-0.38347,-0.37533
24.26800,-0.29485,-0.36542,-0.38294,-0.37550
24.36800,-0.29510,-0.36561,-0.38319,-0.37530
24.46800,-0.29513,-0.36539,-0.38307,-0.37552
24.56800,-0.29464,-0.36511,-0.38299,-0.37516
24.66800,-0.29457,-0.36506,-0.38296,-0.37518
24.76800,-0.29506,-0.36527,-0.38285,-0.37460
24.86800,-0.29534,-0.36532,-0.38299,-0.37475
24.96800,-0.29497,-0.36518,-0.38281,-0.37482
25.06800,-0.29517,-0.36520,-0.38299,-0.37507
25.16800,-0.29515,-0.36516,-0.38304,-0.37478
25.26800,-0.29521,-0.36554,-0.38285,-0.37498
25.36800,-0.29524,-0.36555,-0.38297,-0.37485
25.46800,-0.29554,-0.36570,-0.38334,-0.37497
25.56800,-0.29515,-0.36559,-0.38324,-0.37517
25.66800,-0.29535,-0.36532,-0.38279,-0.37501
25.76800,-0.29511,-0.36550,-0.38283,-0.37556
25.86800,-0.29495,-0.36552,-0.38314,-0.37493
25.96800,-0.29491,-0.36544,-0.38293,-0.37483
26.06800,-0.29487,-0.36534,-0.38289,-0.37488
26.16800,-0.29488,-0.36473,-0.38268,-0.37505
26.26800,-0.29445,-0.36494,-0.38264,-0.37532
26.36800,-0.29474,-0.36503,-0.38280,-0.37529
26.46800,-0.29529,-0.36553,-0.38301,-0.37514
26.56800,-0.29541,-0.36564,-0.38317,-0.37506
26.66800,-0.29538,-0.36566,-0.38331,-0.37535
